[449] systemd-udevd D /run/udev/queue
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000174.ppt.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000355.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000355.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000084.txt.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000084.txt.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000379.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000379.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000660.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000931.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000197.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000360.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000661.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000341.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000669.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000990.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000795.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000025.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000142.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000799.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000991.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000548.gif
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000301.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000541.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000883.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000561.gif
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000640.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000528.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000820.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000062.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000277.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000083.unk
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000321.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000811.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000880.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000525.gif
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000108.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000626.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000121.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000398.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000057.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000581.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000623.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000167.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000392.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000065.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000272.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000272.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000638.html.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000638.html.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000881.jpg.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000881.jpg.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000786.gz.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000786.gz.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000876.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000916.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000377.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000857.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000842.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000815.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000544.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000225.f
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000960.doc
