[449] systemd-udevd D /run/udev/queue
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000588.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000588.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000745.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000943.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000134.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000469.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000414.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000913.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000926.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000603.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000677.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000267.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000171.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000492.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000825.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000745.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000134.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000657.txt
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000825.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000414.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000899.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000603.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000267.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000657.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000399.xls
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000163.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000899.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000399.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000063.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000052.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000189.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000189.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000190.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000063.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000052.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000518.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000339.pdf
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000509.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000190.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000962.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000518.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000339.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000526.gif
